tipo,tema,enunciado,alternativa1,alternativa2,alternativa3,alternativa4,resposta,pontos
MULTIPLA,Portugues,Qual é o plural correto de "cidadão"?,cidadões,cidadãos,cidadans,cidadens,2,10
MULTIPLA,Portugues,Qual das palavras é um substantivo abstrato?,Mesa,Coragem,Pedra,Cachorro,2,10
MULTIPLA,Portugues,Qual é o antônimo de "efêmero"?,Rápido,Passageiro,Duradouro,Frágil,3,15
MULTIPLA,Portugues,Qual figura de linguagem compara duas coisas usando "como"?,Metáfora,Hipérbole,Comparação,Personificação,3,10
MULTIPLA,Portugues,Qual é o sujeito de "Choveu muito ontem"?,O tempo,Choveu,Não há sujeito,Ontem,3,10
MULTIPLA,Portugues,Que tipo de frase é "Que dia lindo!"?,Declarativa,Interrogativa,Exclamativa,Imperativa,3,10
MULTIPLA,Portugues,Qual é a forma correta de escrever?,fazer,faseer,faser,phaser,1,10
MULTIPLA,Portugues,O que é um advérbio?,Palavra que modifica verbo adjetivo ou outro advérbio,Palavra que indica ação,Palavra que substitui o nome,Palavra que liga orações,1,10
MULTIPLA,Portugues,Qual é o gênero gramatical de "flor"?,Masculino,Feminino,Neutro,Indefinido,2,10
MULTIPLA,Portugues,Qual é o sinônimo de "alegre"?,Triste,Feliz,Cansado,Irritado,2,10
MULTIPLA,Portugues,Em "O menino correu rápido" qual é o advérbio?,O,menino,correu,rápido,4,10
MULTIPLA,Portugues,Qual é a função do ponto e vírgula?,Terminar uma frase,Separar ordens de grandeza,Separar partes relacionadas de uma frase,Iniciar citação,3,10
MULTIPLA,Portugues,O que é uma metáfora?,Comparação direta sem usar "como",Exagero proposital,Atribuir vida a coisa inanimada,Repetir sons,1,10
MULTIPLA,Portugues,Qual é o tempo verbal de "ele comeu"?,Presente,Pretérito perfeito,Futuro,Gerúndio,2,10
MULTIPLA,Portugues,Qual palavra é um pronome pessoal?,Mesa,Ele,Bonito,Correr,2,10
MULTIPLA,Portugues,Qual é a classe gramatical de "bonito"?,Substantivo,Verbo,Adjetivo,Advérbio,3,10
MULTIPLA,Portugues,Qual sinal indica que uma letra foi suprimida?,Cedilha,Acento agudo,Apóstrofo,Til,3,10
MULTIPLA,Portugues,Qual é a preposição em "Fui ao mercado"?,Fui,ao,mercado,Não há preposição,2,10
MULTIPLA,Portugues,Quem escreveu "O Cortiço"?,José de Alencar,Aluísio Azevedo,Machado de Assis,Graciliano Ramos,2,15
MULTIPLA,Portugues,Qual é o antônimo de "humilde"?,Simples,Orgulhoso,Tímido,Quieto,2,10
MULTIPLA,Portugues,Qual das opções é uma conjunção?,Rápido,Porém,Mesa,Correr,2,10
MULTIPLA,Portugues,O que é um verbo intransitivo?,Verbo que precisa de complemento,Verbo que não precisa de complemento,Verbo no infinitivo,Verbo no passado,2,10
MULTIPLA,Portugues,Qual é o diminutivo de "cão"?,Cãolete,Canzinho,Cãozinho,Cainho,3,10
MULTIPLA,Portugues,Qual é o superlativo absoluto de "bom"?,Muito bom,Bondade,Ótimo,Bom demais,3,10
MULTIPLA,Portugues,Em qual obra aparece o personagem Bentinho?,Dom Casmurro,Memórias Póstumas de Brás Cubas,Iracema,O Guarani,1,15
MULTIPLA,Portugues,Qual é a função do sujeito na oração?,Indicar lugar,Realizar ou sofrer a ação do verbo,Modificar o verbo,Ligar duas orações,2,10
MULTIPLA,Portugues,Qual é o plural de "mão"?,maos,mães,mauns,mãos,4,10
MULTIPLA,Portugues,Qual é a acentuação correta?,café,cafeh,cafe com acento agudo,cafee,1,10
MULTIPLA,Portugues,Qual é o verbo auxiliar mais comum no futuro do presente?,Ter,Ser,Haver,Ir,4,10
MULTIPLA,Portugues,O que é crase?,Fusão da preposição "a" com o artigo "a",Tipo de acento,Figura de linguagem,Sinal de pontuação,1,15
MULTIPLA,Portugues,Qual é o sinônimo de "velozes"?,Lentos,Rápidos,Pesados,Fortes,2,10
MULTIPLA,Portugues,Qual palavra é um artigo?,Aquele,Um,Bonito,Correr,2,10
MULTIPLA,Portugues,O que é um provérbio?,Palavra que substitui o verbo,Frase que expressa sabedoria popular,Tipo de metáfora,Forma de pontuação,2,10
MULTIPLA,Portugues,Qual figura de linguagem usa exagero?,Comparação,Eufemismo,Hipérbole,Anáfora,3,10
MULTIPLA,Portugues,Em "Ela chegou tarde" qual é o predicado?,Ela,chegou,chegou tarde,tarde,3,10
MULTIPLA,Portugues,Qual é o presente do indicativo de "ser" na 1ª pessoa?,Sou,Serei,Seja,Fui,1,10
MULTIPLA,Portugues,Que tipo de texto narra uma história com personagens e enredo?,Dissertativo,Descritivo,Argumentativo,Narrativo,4,10
MULTIPLA,Portugues,Qual palavra é um numeral?,Dois,Correr,Mesa,Bonito,1,10
MULTIPLA,Portugues,O que é um prefixo?,Elemento que se coloca após a raiz,Elemento que se coloca antes da raiz,Raiz da palavra,Sufixo especial,2,10
MULTIPLA,Portugues,Qual é o gênero literário de Romeu e Julieta?,Poesia,Crônica,Drama,Conto,3,15
MULTIPLA,Portugues,O que é um período composto?,Oração com dois sujeitos,Oração com duas ou mais orações,Oração com predicado nominal,Oração sem verbo,2,10
MULTIPLA,Portugues,Qual é a função do conectivo "mas"?,Adição,Conclusão,Oposição,Causa,3,10
MULTIPLA,Portugues,Qual foi o primeiro livro impresso em português?,A Bíblia,As Ordenações Afonsinas,Cantigas de Santa Maria,Os Lusíadas,2,15
MULTIPLA,Portugues,Qual é o plural de "chapéu"?,chapéus,chapeues,chapeuns,chapois,1,10
MULTIPLA,Portugues,O que é um oxímoro?,Metáfora extensa,Combinação de termos opostos,Repetição de sons,Inversão da ordem natural,2,15
MULTIPLA,Portugues,Qual é o grau superlativo relativo de "inteligente"?,Inteligentíssimo,O mais inteligente,Muito inteligente,Inteligente demais,2,10
MULTIPLA,Portugues,Qual palavra é uma interjeição?,Oba,Correr,Mesa,Bonito,1,10
MULTIPLA,Portugues,O que é o predicado verbal?,Predicado com verbo de ligação,Predicado que contém só verbo significativo,Predicado que tem substantivo,Predicado sem verbo,2,10
